PID,MfgrName,ProductName,CatName,RetailPrice,MaxDiscount
1,Bartanefin International ,Zeejubin,Scanner,258.36,0.58
1,Bartanefin International ,Zeejubin,Video Game,258.36,0.58
2,Frojubupax  Corp.,Varpickilower,Air Conditioner,314.78,0.46
2,Frojubupax  Corp.,Varpickilower,Dryer,314.78,0.46
3,Emjubex International Corp.,Unwerplar,Recording Equipment,256.45,0.57
3,Emjubex International Corp.,Unwerplar,Satellite Radio,256.45,0.57
3,Emjubex International Corp.,Unwerplar,Speaker,256.45,0.57
4,Surjubackar International ,Parfropollin,Camera,472.04,0.6
5,Monhupefantor WorldWide ,Inkilentor,GPS,180.03,0.1
5,Monhupefantor WorldWide ,Inkilentor,Microwave,180.03,0.1
5,Monhupefantor WorldWide ,Inkilentor,Video Game,180.03,0.1
6,Thruvenommazz  Group,Haphupentor,Air Purifier,203.67,0.36
6,Thruvenommazz  Group,Haphupentor,Battery,203.67,0.36
7,Upnipommower International ,Rapsipover,Bluray,236.8,0.53
7,Upnipommower International ,Rapsipover,DVD,236.8,0.53
8,Parquestan WorldWide ,Tupdimower,Dryer,260.15,0.34
9,Ciptinefar  Inc,Gronipicistor,DVD,14.12,0.64
9,Ciptinefar  Inc,Gronipicistor,Video Game,14.12,0.64
10,Hapcadax Holdings Inc,Trumunentor,MP3 Player,110.32,0.01
11,Partanommentor  ,Rapdudollistor,Computer,325.25,0.77
11,Partanommentor  ,Rapdudollistor,TV,325.25,0.77
12,Emvenanor WorldWide ,Surhupin,Scanner,95.75,0.3
13,Intinicower  ,Resapollan,MP3 Player,328.72,0.17
14,Tipjubepover  ,Fromunan,Printer,350.2,0.37
14,Tipjubepover  ,Fromunan,Tool,350.2,0.37
15,Vartanazz International ,Doperimax,TV,390.43,0.4
16,Tippebex International ,Barglibin,Printer,422.75,0.17
17,Zeebanar  ,Emtanicazz,Camera Lens,418.61,0.12
17,Zeebanar  ,Emtanicazz,CD,418.61,0.12
18,Surdimicator  ,Uncadar,TV,195.87,0.66
19,Inwerepor  Company,Trutumplex,Camera,386.15,0.49
19,Inwerepor  Company,Trutumplex,Computer,386.15,0.49
20,Rezapupar Direct Company,Recadicentor,Projector,287.23,0.56
21,Kliwerpor International Company,Supdimantor,Recording Equipment,249.83,0.43
22,Unsipexar WorldWide ,Montanefistor,Refridgerator,456.17,0.36
22,Unsipexar WorldWide ,Montanefistor,Speaker,456.17,0.36
23,Tupkilexower Direct ,Lomtumefower,Refridgerator,379.16,0.5
23,Tupkilexower Direct ,Lomtumefower,Washer,379.16,0.5
24,Undudupar  Inc,Zeewerpegazz,Microwave,421.45,0.7
24,Undudupar  Inc,Zeewerpegazz,Phone,421.45,0.7
24,Undudupar  Inc,Zeewerpegazz,Video Game,421.45,0.7
25,Montanar Holdings Company,Suppebistor,Fax,201.05,0.15
25,Montanar Holdings Company,Suppebistor,Washer,201.05,0.15
26,Truglibazz Direct ,Barhupadan,Camera,75.09,0.56
26,Truglibazz Direct ,Barhupadan,CD,75.09,0.56
27,Unrobexower  Corp.,Tupzapinar,Dryer,224.96,0.44
28,Varcadewicator  ,Supwerpin,Microwave,139.07,0.56
28,Varcadewicator  ,Supwerpin,Satellite Radio,139.07,0.56
29,Inpebepantor Direct Company,Parrobommar,Phone,497,0.32
30,Rehupommantor Holdings Corp.,Kliglibplan,Camera,255.18,0.14
30,Rehupommantor Holdings Corp.,Kliglibplan,CD,255.18,0.14
31,Parquestor  Corp.,Cipzapplistor,MP3 Player,96.57,0.7
31,Parquestor  Corp.,Cipzapplistor,Satellite Radio,96.57,0.7
32,Partinazz  ,Inkililantor,Camera,41.04,0.41
33,Tipfropaquin Holdings Company,Emkilegover,Microwave,263.48,0.24
33,Tipfropaquin Holdings Company,Emkilegover,Washer,263.48,0.24
34,Raperin Holdings Company,Unpickantor,Microwave,372.71,0.53
34,Raperin Holdings Company,Unpickantor,Video Game,372.71,0.53
35,Unwerpedgower  Inc,Wintinan,Phone,127.46,0.13
36,Indudedgan Holdings ,Thruzapantor,Camera Lens,248.77,0.79
36,Indudedgan Holdings ,Thruzapantor,Computer,248.77,0.79
36,Indudedgan Holdings ,Thruzapantor,Phone,248.77,0.79
37,Thruquestistor Holdings Inc,Varhupadover,Fax,148.16,0.69
37,Thruquestistor Holdings Inc,Varhupadover,Projector,148.16,0.69
37,Thruquestistor Holdings Inc,Varhupadover,Recording Equipment,148.16,0.69
38,Frorobex Holdings Group,Doptinan,Computer,364.04,0.28
39,Lomwerpan Holdings ,Dopbanplover,Video Game,110.45,0.26
40,Emcadentor International ,Qwiweran,Battery,53.66,0.89
40,Emcadentor International ,Qwiweran,GPS,53.66,0.89
41,Qwicadegazz Holdings Group,Supdimazz,GPS,442.64,0.08
41,Qwicadegazz Holdings Group,Supdimazz,Tool,442.64,0.08
42,Unmunexover Holdings ,Endbanin,Speaker,356.73,0.43
42,Unmunexover Holdings ,Endbanin,Tool,356.73,0.43
43,Supsipplower  ,Repickaquax,Printer,205.98,0.77
44,Adcadackor Direct Company,Zeerobex,Camera,330.01,0.57
45,Cipwerpower WorldWide Company,Tiptumegicator,GPS,95.34,0.05
46,Inrobicator Holdings Group,Supquestegistor,Air Purifier,491.57,0.85
46,Inrobicator Holdings Group,Supquestegistor,Battery,491.57,0.85
46,Inrobicator Holdings Group,Supquestegistor,TV,491.57,0.85
47,Tuperepan WorldWide ,Adsapupicator,Car Audio,362.34,0.76
47,Tuperepan WorldWide ,Adsapupicator,Microwave,362.34,0.76
48,Varkilantor International ,Grotumommover,Air Conditioner,391.06,0.6
48,Varkilantor International ,Grotumommover,Printer,391.06,0.6
48,Varkilantor International ,Grotumommover,Refridgerator,391.06,0.6
49,Thrujubepazz International Company,Winzapefor,Air Purifier,305.75,0.02
49,Thrujubepazz International Company,Winzapefor,Camera,305.75,0.02
50,Frojubaman Holdings ,Cipglibin,Camera,437.98,0.3
50,Frojubaman Holdings ,Cipglibin,GPS,437.98,0.3
50,Frojubaman Holdings ,Cipglibin,Recording Equipment,437.98,0.3
51,Varwerilicator  ,Recadex,CD,208.65,0.03
52,Tipsapazz  ,Endvenefover,Bluray,121.25,0.62
52,Tipsapazz  ,Endvenefover,Phone,121.25,0.62
52,Tipsapazz  ,Endvenefover,Satellite Radio,121.25,0.62
53,Zeejubex WorldWide ,Qwinipefover,CD,236.18,0.19
54,Lomrobopower WorldWide ,Klisapewan,Car Audio,105.75,0.73
54,Lomrobopower WorldWide ,Klisapewan,Video Game,105.75,0.73
55,Winjubentor Direct Group,Bareredgover,Air Conditioner,420.96,0.64
55,Winjubentor Direct Group,Bareredgover,Phone,420.96,0.64
56,Inpebax Direct ,Surpickantor,GPS,302.18,0.08
56,Inpebax Direct ,Surpickantor,MP3 Player,302.18,0.08
56,Inpebax Direct ,Surpickantor,TV,302.18,0.08
57,Haptanegax Holdings ,Winmunex,Scanner,435.62,0.72
58,Frofropar WorldWide Inc,Uptanex,Vacuum Cleaner,335,0.9
59,Undudower WorldWide ,Thrufropan,Printer,271.99,0.54
59,Undudower WorldWide ,Thrufropan,Video Game,271.99,0.54
60,Monquestazz  ,Winwerpefan,Fax,105.95,0.43
61,Tuppickplax Holdings ,Monmunedgover,GPS,478.72,0.87
61,Tuppickplax Holdings ,Monmunedgover,Video Camera,478.72,0.87
62,Upkilin  Corp.,Admunex,Air Conditioner,98.73,0.8
62,Upkilin  Corp.,Admunex,Vacuum Cleaner,98.73,0.8
62,Upkilin  Corp.,Admunex,Video Camera,98.73,0.8
63,Winsapplover  ,Lompickicantor,Air Purifier,263.15,0.05
63,Winsapplover  ,Lompickicantor,Bluray,263.15,0.05
63,Winsapplover  ,Lompickicantor,Recording Equipment,263.15,0.05
64,Emnipentor Holdings ,Uncadaquan,Dryer,258.94,0.79
64,Emnipentor Holdings ,Uncadaquan,Recording Equipment,258.94,0.79
64,Emnipentor Holdings ,Uncadaquan,Satellite Radio,258.94,0.79
65,Inrobentor WorldWide ,Unbanomman,DVD,14.74,0.83
65,Inrobentor WorldWide ,Unbanomman,Video Camera,14.74,0.83
66,Truhupor Direct ,Parpebicator,Battery,285.21,0.33
67,Tipbanan International ,Adhupedicator,DVD,332.27,0.52
67,Tipbanan International ,Adhupedicator,MP3 Player,332.27,0.52
68,Adwerax  ,Hapdimefazz,Car Audio,456.01,0.2
68,Adwerax  ,Hapdimefazz,CD,456.01,0.2
68,Adwerax  ,Hapdimefazz,Computer,456.01,0.2
69,Tuppickin  Corp.,Trukilegistor,Air Conditioner,223.74,0.73
70,Raptumedower  Inc,Thruzapimentor,Recording Equipment,142.66,0.07
70,Raptumedower  Inc,Thruzapimentor,Video Camera,142.66,0.07
71,Barvenantor  ,Zeegliban,Dryer,275.59,0.75
72,Adnipover Holdings ,Qwitumadantor,TV,55.58,0.31
73,Unpebaquover Holdings ,Unquestupan,Computer,86.43,0.75
73,Unpebaquover Holdings ,Unquestupan,Dryer,86.43,0.75
73,Unpebaquover Holdings ,Unquestupan,Video Camera,86.43,0.75
74,Dopglibefazz  Company,Undimican,Dryer,333.5,0.82
75,Advenupex Direct Company,Lompickex,Bluray,344.58,0.13
75,Advenupex Direct Company,Lompickex,Camera Lens,344.58,0.13
75,Advenupex Direct Company,Lompickex,Fax,344.58,0.13
76,Barcadantor Direct ,Hapnipex,Air Conditioner,393.1,0.65
77,Thrusapentor WorldWide ,Grovenan,Projector,251.19,0.29
77,Thrusapentor WorldWide ,Grovenan,Refridgerator,251.19,0.29
78,Monfropor  ,Rekilicin,Scanner,50.15,0.24
