Product,Date,SalePrice
162,2000-01-01,116.34
1224,2000-01-01,152.84
1638,2000-01-01,345.79
2741,2000-01-01,160.85
3333,2000-01-01,152.79
6024,2000-01-01,332.39
6263,2000-01-01,235.77
6446,2000-01-01,2.31
8084,2000-01-01,47.88
13860,2000-01-01,403.3
15032,2000-01-01,22.13
15695,2000-01-01,422.96
18231,2000-01-01,291.31
19200,2000-01-01,87.43
19425,2000-01-01,107.94
21248,2000-01-01,134.89
22660,2000-01-01,264.95
832,2000-01-02,22.56
3948,2000-01-02,409.13
10017,2000-01-02,206.95
10241,2000-01-02,164.74
10764,2000-01-02,74.35
20449,2000-01-02,41.7
22494,2000-01-02,363.35
1967,2000-01-03,60.95
2350,2000-01-03,387.3
2861,2000-01-03,216.64
3866,2000-01-03,132.26
5416,2000-01-03,255.07
5572,2000-01-03,20.15
6161,2000-01-03,14.44
6877,2000-01-03,136.65
7201,2000-01-03,467.75
9253,2000-01-03,140.59
9768,2000-01-03,157.19
15163,2000-01-03,5.22
21827,2000-01-03,331.39
23026,2000-01-03,69.92
24108,2000-01-03,38.78
716,2000-01-04,100.04
2383,2000-01-04,22.8
4350,2000-01-04,104.23
5061,2000-01-04,259.67
5235,2000-01-04,125.64
9176,2000-01-04,306.36
9220,2000-01-04,8.3
9777,2000-01-04,48.23
10627,2000-01-04,143.81
18445,2000-01-04,461.95
19264,2000-01-04,43.53
19766,2000-01-04,348.69
20237,2000-01-04,47.99
21450,2000-01-04,290.91
23908,2000-01-04,389.51
24597,2000-01-04,334.64
1440,2000-01-05,213.53
1831,2000-01-05,65.76
4332,2000-01-05,86.67
8456,2000-01-05,25.42
12458,2000-01-05,237.5
13921,2000-01-05,54.25
17687,2000-01-05,54.17
20400,2000-01-05,369.55
21494,2000-01-05,32.46
23687,2000-01-05,177.65
267,2000-01-06,181.62
504,2000-01-06,350.19
1208,2000-01-06,338.09
4307,2000-01-06,241.21
6865,2000-01-06,1.23
8698,2000-01-06,44.23
9447,2000-01-06,134.57
9470,2000-01-06,226.98
10114,2000-01-06,42.81
10778,2000-01-06,20.05
16648,2000-01-06,46.99
16731,2000-01-06,37.58
19514,2000-01-06,19.61
19675,2000-01-06,333.23
20199,2000-01-06,58.58
22716,2000-01-06,301.49
1151,2000-01-07,226.42
2672,2000-01-07,186.32
3950,2000-01-07,147.38
5092,2000-01-07,69.57
9475,2000-01-07,34.74
9595,2000-01-07,17.33
9730,2000-01-07,113.09
11370,2000-01-07,75.63
13356,2000-01-07,15.1
14474,2000-01-07,223.4
15441,2000-01-07,227.29
16400,2000-01-07,386.34
17964,2000-01-07,139.22
18284,2000-01-07,204.32
20835,2000-01-07,77.77
22909,2000-01-07,68.42
23841,2000-01-07,423.21
366,2000-01-08,440.68
527,2000-01-08,145.03
958,2000-01-08,172.95
1690,2000-01-08,73.14
3512,2000-01-08,48.08
3662,2000-01-08,351.4
4696,2000-01-08,79.01
5171,2000-01-08,62.81
8365,2000-01-08,227.19
9100,2000-01-08,79.03
10226,2000-01-08,33.2
10345,2000-01-08,213.44
12335,2000-01-08,475.81
19127,2000-01-08,120.94
21948,2000-01-08,414.3
22724,2000-01-08,109.31
22741,2000-01-08,339.5
23458,2000-01-08,390.91
2068,2000-01-09,215.79
3507,2000-01-09,334.2
8123,2000-01-09,13.25
11044,2000-01-09,145.66
13140,2000-01-09,135.35
13803,2000-01-09,232.06
14402,2000-01-09,303.36
15326,2000-01-09,203.97
16765,2000-01-09,239.51
17847,2000-01-09,342.35
19405,2000-01-09,279.19
454,2000-01-10,62.99
1308,2000-01-10,203.2
2266,2000-01-10,39.66
2340,2000-01-10,213.73
4922,2000-01-10,175.01
5162,2000-01-10,214.02
6868,2000-01-10,268.29
8824,2000-01-10,410.85
15816,2000-01-10,404.5
16445,2000-01-10,97.28
19701,2000-01-10,113.39
21700,2000-01-10,61.48
24064,2000-01-10,461.31
101,2000-01-11,120.85
906,2000-01-11,396.08
2157,2000-01-11,365.49
3245,2000-01-11,350.22
4303,2000-01-11,53.13
5987,2000-01-11,476.18
7117,2000-01-11,19.35
8548,2000-01-11,19.75
9294,2000-01-11,5.47
12009,2000-01-11,75.7
13619,2000-01-11,175.43
15903,2000-01-11,27.23
16904,2000-01-11,269.47
17927,2000-01-11,46.37
20878,2000-01-11,45.86
255,2000-01-12,344.65
965,2000-01-12,51.64
1275,2000-01-12,81.69
2513,2000-01-12,232.11
3262,2000-01-12,144.23
3943,2000-01-12,47.85
5095,2000-01-12,485.26
7104,2000-01-12,9.11
9102,2000-01-12,128.53
9775,2000-01-12,8.57
10479,2000-01-12,81.3
11774,2000-01-12,174.36
14962,2000-01-12,417.57
14963,2000-01-12,59.35
15397,2000-01-12,347.82
15644,2000-01-12,153.36
16156,2000-01-12,358.08
18167,2000-01-12,487.52
18488,2000-01-12,160.88
20872,2000-01-12,10.51
562,2000-01-13,17.14
1238,2000-01-13,409.08
6107,2000-01-13,17.26
6384,2000-01-13,224.79
8019,2000-01-13,35.12
9280,2000-01-13,380.27
12360,2000-01-13,75.26
13431,2000-01-13,9.96
15296,2000-01-13,10.79
17200,2000-01-13,80.66
17483,2000-01-13,237.67
25291,2000-01-13,6755.27
95,2000-01-14,74.19
1755,2000-01-14,99.93
2710,2000-01-14,182.33
5318,2000-01-14,140.7
5888,2000-01-14,100.86
6116,2000-01-14,290.1
6468,2000-01-14,425.22
8993,2000-01-14,44.6
10236,2000-01-14,18.39
10559,2000-01-14,40.24
11293,2000-01-14,29.91
13475,2000-01-14,42.27
16122,2000-01-14,299.12
18937,2000-01-14,139.15
21418,2000-01-14,361.12
24668,2000-01-14,314.52
52,2000-01-15,82.35
530,2000-01-15,75.29
1295,2000-01-15,14.68
4530,2000-01-15,187.04
4749,2000-01-15,199.02
4814,2000-01-15,235.01
5228,2000-01-15,305.57
8581,2000-01-15,57.47
9854,2000-01-15,488.88
11657,2000-01-15,51.25
12563,2000-01-15,252.6
13057,2000-01-15,207.92
14457,2000-01-15,175.95
16580,2000-01-15,159.71
647,2000-01-16,176.88
835,2000-01-16,379.15
2678,2000-01-16,288.29
2760,2000-01-16,200.86
3214,2000-01-16,386.65
8505,2000-01-16,17.54
9039,2000-01-16,183.57
11445,2000-01-16,302
12093,2000-01-16,248.91
15389,2000-01-16,152.9
17821,2000-01-16,201.07
18677,2000-01-16,114.62
21097,2000-01-16,217.68
24198,2000-01-16,117.76
748,2000-01-17,117.11
3103,2000-01-17,210.84
3621,2000-01-17,31.55
3801,2000-01-17,152.11
4230,2000-01-17,289.45
6170,2000-01-17,130.13
7499,2000-01-17,247.21
7514,2000-01-17,2.86
8358,2000-01-17,43.93
12554,2000-01-17,22.82
14940,2000-01-17,465.31
19266,2000-01-17,272.31
21001,2000-01-17,58.62
24708,2000-01-17,39.37
24737,2000-01-17,244.91
377,2000-01-18,177.42
3532,2000-01-18,127.46
4706,2000-01-18,137.13
5747,2000-01-18,119.67
7195,2000-01-18,231.65
8664,2000-01-18,156.82
9215,2000-01-18,20.93
9881,2000-01-18,25.42
9944,2000-01-18,59.56
19785,2000-01-18,108.31
22625,2000-01-18,307.71
2257,2000-01-19,46.67
2977,2000-01-19,199.39
4637,2000-01-19,239.24
7388,2000-01-19,74.09
8411,2000-01-19,35.95
9419,2000-01-19,162.13
9466,2000-01-19,175.15
9711,2000-01-19,64.34
10856,2000-01-19,277.97
11409,2000-01-19,75.21
11831,2000-01-19,249.38
12032,2000-01-19,272.23
12166,2000-01-19,70.9
22866,2000-01-19,177.23
23108,2000-01-19,70.65
24298,2000-01-19,120.97
97,2000-01-20,70.8
219,2000-01-20,140.76
540,2000-01-20,454.68
1924,2000-01-20,472.15
4242,2000-01-20,85.68
4465,2000-01-20,251.46
5048,2000-01-20,158.93
5395,2000-01-20,62.65
7676,2000-01-20,64.77
9126,2000-01-20,188.33
9517,2000-01-20,65.18
12213,2000-01-20,28.71
14827,2000-01-20,179.34
16199,2000-01-20,129.1
20244,2000-01-20,176.7
20591,2000-01-20,93.63
22130,2000-01-20,473.7
23295,2000-01-20,0.55
24592,2000-01-20,196.43
163,2000-01-21,79.04
780,2000-01-21,157.04
3446,2000-01-21,111.11
3621,2000-01-21,31.55
6683,2000-01-21,170.07
6978,2000-01-21,105.03
7947,2000-01-21,189.48
8480,2000-01-21,167.95
11217,2000-01-21,3.07
11220,2000-01-21,488.2
12441,2000-01-21,43.69
17940,2000-01-21,19.16
23641,2000-01-21,127.02
1047,2000-01-22,5.99
1952,2000-01-22,288.53
2169,2000-01-22,478.93
2981,2000-01-22,50.12
3427,2000-01-22,19.57
5476,2000-01-22,265.29
6837,2000-01-22,24.02
8184,2000-01-22,221.18
11682,2000-01-22,419.9
14537,2000-01-22,352.29
15085,2000-01-22,240.48
20609,2000-01-22,160.67
